[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
7,587E+00	1,203E-01	
7,614E+00	1,212E-01	
7,641E+00	1,220E-01	
7,668E+00	1,225E-01	
7,695E+00	1,226E-01	
7,722E+00	1,224E-01	
7,749E+00	1,218E-01	
7,776E+00	1,207E-01	
7,803E+00	1,192E-01	
7,830E+00	1,172E-01	
7,857E+00	1,147E-01	
7,884E+00	1,119E-01	
7,911E+00	1,087E-01	
7,938E+00	1,052E-01	
7,965E+00	1,016E-01	
7,992E+00	9,776E-02	
8,019E+00	9,390E-02	
8,046E+00	9,006E-02	
8,073E+00	8,631E-02	
8,100E+00	8,273E-02	
8,127E+00	7,936E-02	
8,154E+00	7,625E-02	
8,181E+00	7,343E-02	
8,208E+00	7,092E-02	
8,235E+00	6,873E-02	
8,262E+00	6,685E-02	
8,289E+00	6,527E-02	
8,316E+00	6,397E-02	
8,343E+00	6,291E-02	
8,370E+00	6,206E-02	
8,397E+00	6,139E-02	
8,424E+00	6,087E-02	
8,451E+00	6,046E-02	
8,478E+00	6,014E-02	
8,505E+00	5,990E-02	
8,532E+00	5,970E-02	
8,559E+00	5,955E-02	
8,586E+00	5,944E-02	
8,613E+00	5,938E-02	
8,640E+00	5,937E-02	
8,667E+00	5,942E-02	
8,694E+00	5,956E-02	
8,721E+00	5,979E-02	
8,748E+00	6,012E-02	
8,775E+00	6,056E-02	
8,802E+00	6,112E-02	
8,829E+00	6,180E-02	
8,856E+00	6,259E-02	
8,883E+00	6,348E-02	
8,910E+00	6,445E-02	
8,937E+00	6,549E-02	
8,964E+00	6,656E-02	
8,991E+00	6,765E-02	
9,018E+00	6,871E-02	
9,045E+00	6,972E-02	
9,072E+00	7,064E-02	
9,099E+00	7,147E-02	
9,126E+00	7,217E-02	
9,153E+00	7,272E-02	
9,180E+00	7,313E-02	
9,207E+00	7,338E-02	
9,234E+00	7,347E-02	
9,261E+00	7,342E-02	
9,288E+00	7,324E-02	
9,315E+00	7,295E-02	
9,342E+00	7,256E-02	
9,369E+00	7,212E-02	
9,396E+00	7,163E-02	
9,423E+00	7,114E-02	
9,450E+00	7,066E-02	
9,477E+00	7,022E-02	
9,504E+00	6,985E-02	
9,531E+00	6,955E-02	
9,558E+00	6,936E-02	
9,585E+00	6,926E-02	
9,612E+00	6,928E-02	
9,639E+00	6,940E-02	
9,666E+00	6,962E-02	
9,693E+00	6,994E-02	
9,720E+00	7,033E-02	
9,747E+00	7,077E-02	
9,774E+00	7,126E-02	
9,801E+00	7,176E-02	
9,828E+00	7,225E-02	
9,855E+00	7,271E-02	
9,882E+00	7,311E-02	
9,909E+00	7,344E-02	
9,936E+00	7,367E-02	
9,963E+00	7,378E-02	
9,990E+00	7,376E-02	
1,002E+01	7,360E-02	
1,004E+01	7,327E-02	
1,007E+01	7,278E-02	
1,010E+01	7,212E-02	
1,013E+01	7,128E-02	
1,015E+01	7,027E-02	
1,018E+01	6,908E-02	
1,021E+01	6,772E-02	
1,023E+01	6,620E-02	
1,026E+01	6,451E-02	
1,029E+01	6,268E-02	
1,031E+01	6,071E-02	
1,034E+01	5,861E-02	
1,037E+01	5,641E-02	
1,040E+01	5,413E-02	
1,042E+01	5,177E-02	
1,045E+01	4,936E-02	
1,048E+01	4,693E-02	
1,050E+01	4,450E-02	
1,053E+01	4,208E-02	
1,056E+01	3,972E-02	
1,058E+01	3,742E-02	
1,061E+01	3,521E-02	
1,064E+01	3,311E-02	
1,066E+01	3,113E-02	
1,069E+01	2,930E-02	
1,072E+01	2,763E-02	
1,075E+01	2,611E-02	
1,077E+01	2,476E-02	
1,080E+01	2,358E-02	
1,083E+01	2,257E-02	
1,085E+01	2,172E-02	
1,088E+01	2,102E-02	
1,091E+01	2,045E-02	
1,094E+01	2,002E-02	
1,096E+01	1,969E-02	
1,099E+01	1,946E-02	
1,102E+01	1,930E-02	
1,104E+01	1,920E-02	
1,107E+01	1,914E-02	
1,110E+01	1,910E-02	
1,112E+01	1,907E-02	
1,115E+01	1,905E-02	
1,118E+01	1,902E-02	
1,120E+01	1,897E-02	
1,123E+01	1,892E-02	
1,126E+01	1,886E-02	
1,129E+01	1,880E-02	
1,131E+01	1,874E-02	
