time [µs]	Amp[V]	HF [V]	TGC [dB]
28,7	0,015	0,002	30,866
28,8	0,020	-0,014	30,866
28,9	0,024	-0,022	30,866
29,0	0,026	-0,014	30,709
29,1	0,025	0,017	30,866
29,2	0,023	0,017	30,866
29,3	0,021	0,017	30,866
29,4	0,022	0,002	30,866
29,5	0,025	-0,022	30,866
29,6	0,029	-0,022	30,866
29,7	0,029	-0,022	30,866
29,8	0,025	0,009	30,866
29,9	0,018	0,017	30,866
30,0	0,011	0,009	30,866
30,1	0,009	0,002	30,866
30,2	0,013	0,002	30,866
30,3	0,018	-0,006	30,866
30,4	0,020	-0,022	30,866
30,5	0,017	-0,014	30,866
30,6	0,011	0,002	30,866
30,7	0,007	0,002	30,866
30,8	0,007	0,002	30,866
30,9	0,012	0,009	30,866
31,0	0,018	-0,014	30,866
31,1	0,021	-0,022	30,866
31,2	0,021	-0,006	30,866
31,3	0,019	0,002	30,866
31,4	0,015	0,017	30,866
31,5	0,013	-0,006	30,866
31,6	0,013	-0,014	30,866
31,7	0,013	-0,006	30,866
31,8	0,013	-0,006	30,866
31,9	0,013	-0,006	30,866
32,0	0,012	0,009	30,866
32,1	0,010	0,009	30,866
32,2	0,009	0,002	30,866
32,3	0,008	-0,006	30,866
32,4	0,007	-0,006	30,866
32,5	0,007	0,002	30,866
32,6	0,005	0,002	30,866
32,7	0,004	0,002	30,866
32,8	0,002	0,002	30,866
32,9	0,003	0,002	30,866
33,0	0,007	-0,006	30,866
33,1	0,012	-0,006	30,866
33,2	0,016	0,002	30,866
33,3	0,016	0,017	30,866
33,4	0,012	0,009	30,866
33,5	0,006	0,002	30,866
33,6	0,003	0,002	30,866
33,7	0,004	0,002	30,866
33,8	0,006	-0,006	30,866
33,9	0,009	0,002	30,866
34,0	0,009	0,009	30,866
34,1	0,008	0,002	30,866
34,2	0,006	-0,006	30,866
34,3	0,006	0,002	30,709
34,4	0,008	-0,006	30,709
34,5	0,010	0,009	30,866
34,6	0,011	0,009	30,866
34,7	0,010	0,009	30,866
34,8	0,009	0,002	30,866
34,9	0,009	0,002	30,866
35,0	0,010	0,002	30,866
35,1	0,010	-0,014	30,866
35,2	0,011	-0,006	30,866
35,3	0,011	0,002	30,866
35,4	0,012	0,009	30,866
35,5	0,013	0,009	30,709
35,6	0,013	-0,006	30,709
35,7	0,013	-0,014	30,866
35,8	0,012	-0,006	30,866
35,9	0,011	-0,006	30,866
36,0	0,010	0,002	30,866
36,1	0,010	0,009	30,866
36,2	0,010	0,009	30,866
36,3	0,009	0,002	30,866
36,4	0,008	-0,006	30,866
36,5	0,009	0,002	30,866
36,6	0,012	-0,014	30,866
36,7	0,016	0,002	30,866
36,8	0,018	0,017	30,866
36,9	0,017	0,009	30,866
37,0	0,013	-0,006	30,866
37,1	0,009	-0,006	30,866
37,2	0,007	-0,006	30,866
37,3	0,008	-0,006	30,866
37,4	0,011	0,009	30,866
37,5	0,014	0,009	30,866
37,6	0,015	0,009	30,866
37,7	0,013	-0,006	30,866
37,8	0,010	-0,006	30,866
37,9	0,008	-0,006	30,866
38,0	0,010	-0,014	30,866
38,1	0,014	-0,006	30,866
38,2	0,019	-0,006	30,866
38,3	0,021	0,017	30,709
38,4	0,019	0,017	30,866
38,5	0,014	-0,006	30,866
38,6	0,009	-0,006	30,866
38,7	0,008	-0,006	30,866
38,8	0,008	0,002	30,866
38,9	0,010	0,009	30,866
39,0	0,010	0,009	30,866
39,1	0,009	-0,006	30,866
39,2	0,007	0,002	30,866
39,3	0,007	0,002	30,866
39,4	0,009	0,002	30,709
39,5	0,011	-0,014	30,709
39,6	0,011	-0,006	30,866
39,7	0,008	-0,006	30,866
39,8	0,005	0,002	30,866
39,9	0,004	-0,006	30,866
40,0	0,007	-0,006	30,866
40,1	0,010	0,002	30,866
40,2	0,012	-0,014	30,866
40,3	0,011	-0,006	30,866
40,4	0,008	0,002	30,866
40,5	0,006	0,002	30,866
40,6	0,005	0,002	30,709
40,7	0,006	-0,006	30,709
40,8	0,008	0,009	30,866
40,9	0,010	0,002	30,866
41,0	0,010	0,009	30,866
41,1	0,010	0,009	30,866
41,2	0,011	-0,006	30,866
41,3	0,012	-0,006	30,866
41,4	0,012	0,002	30,866
41,5	0,010	-0,014	30,866
41,6	0,006	0,002	30,866
41,7	0,003	0,002	30,866
41,8	0,004	0,002	30,866
41,9	0,008	-0,006	30,709
42,0	0,013	0,009	30,866
42,1	0,016	0,009	30,866
42,2	0,015	-0,014	30,866
42,3	0,010	-0,006	30,866
42,4	0,006	0,002	30,866
42,5	0,005	0,002	30,866
42,6	0,007	-0,006	30,866
42,7	0,010	-0,014	30,866
42,8	0,012	0,002	30,866
42,9	0,012	0,002	30,866
43,0	0,011	0,009	30,866
43,1	0,010	-0,014	30,709
43,2	0,009	0,002	30,709
43,3	0,009	0,002	30,866
43,4	0,008	0,002	30,866
43,5	0,006	0,002	30,709
43,6	0,004	-0,006	30,866
43,7	0,002	0,002	30,866
43,8	0,002	0,002	30,866
43,9	0,003	0,002	30,866
44,0	0,004	0,002	30,866
44,1	0,004	0,002	30,866
44,2	0,003	-0,006	30,866
44,3	0,003	0,002	30,866
44,4	0,005	0,002	30,866
44,5	0,009	0,002	30,866
44,6	0,013	0,009	30,709
44,7	0,013	-0,014	30,866
44,8	0,011	-0,006	30,709
44,9	0,007	-0,006	30,866
45,0	0,005	0,002	30,866
45,1	0,007	0,002	30,866
45,2	0,011	0,009	30,866
45,3	0,015	-0,014	30,866
45,4	0,016	-0,006	30,866
45,5	0,014	0,009	30,866
45,6	0,010	-0,006	30,866
45,7	0,008	-0,006	30,709
45,8	0,008	-0,006	30,709
45,9	0,008	0,009	30,709
46,0	0,008	-0,006	30,709
46,1	0,007	0,002	30,866
46,2	0,006	-0,006	30,866
46,3	0,006	-0,006	30,866
46,4	0,006	0,002	30,866
46,5	0,005	0,002	30,866
46,6	0,003	0,002	30,866
46,7	0,001	0,002	30,866
46,8	0,001	0,002	30,866
46,9	0,004	0,002	30,866
47,0	0,009	0,009	30,866
47,1	0,013	-0,006	30,866
47,2	0,014	-0,006	30,709
47,3	0,010	0,009	30,709
47,4	0,006	-0,006	30,866
47,5	0,003	0,002	30,866
47,6	0,003	-0,006	30,866
47,7	0,006	0,002	30,866
47,8	0,009	-0,006	30,866
47,9	0,010	0,009	30,866
48,0	0,009	0,002	30,866
48,1	0,008	-0,006	30,866
48,2	0,008	0,002	30,866
48,3	0,009	0,009	30,866
48,4	0,009	0,002	30,709
48,5	0,009	-0,006	30,709
48,6	0,006	0,002	30,866
48,7	0,004	-0,006	30,709
48,8	0,003	0,002	30,866
48,9	0,005	0,002	30,866
49,0	0,008	0,002	30,866
49,1	0,012	-0,014	30,866
49,2	0,013	0,009	30,866
49,3	0,012	-0,006	30,866
49,4	0,009	0,002	30,866
49,5	0,006	0,002	30,866
49,6	0,005	-0,006	30,709
49,7	0,005	0,002	30,709
49,8	0,006	0,002	30,709
49,9	0,006	-0,006	30,709
50,0	0,006	-0,006	30,709
50,1	0,005	0,002	30,866
50,2	0,004	0,002	30,866
50,3	0,003	0,002	30,866
50,4	0,005	-0,006	30,866
50,5	0,007	0,002	30,866
50,6	0,010	0,002	30,866
50,7	0,013	-0,014	30,866
50,8	0,013	0,009	30,866
50,9	0,012	0,002	30,866
51,0	0,009	0,002	30,866
51,1	0,007	0,009	30,709
51,2	0,007	-0,006	30,709
51,3	0,010	0,002	30,866
51,4	0,014	-0,014	30,866
51,5	0,018	-0,006	30,866
51,6	0,018	0,017	30,866
51,7	0,014	-0,006	30,866
51,8	0,009	-0,006	30,866
51,9	0,005	0,002	30,866
52,0	0,004	-0,006	30,866
52,1	0,006	-0,006	30,866
52,2	0,008	0,002	30,866
52,3	0,009	-0,006	30,709
52,4	0,009	0,009	30,709
52,5	0,008	0,002	30,866
52,6	0,008	0,002	30,866
52,7	0,009	0,002	30,866
52,8	0,010	-0,006	30,866
52,9	0,009	0,009	30,866
53,0	0,007	-0,006	30,866
53,1	0,005	0,002	30,866
53,2	0,005	0,002	30,866
53,3	0,007	-0,006	30,866
53,4	0,010	0,002	30,866
53,5	0,010	0,009	30,709
53,6	0,008	-0,006	30,709
53,7	0,005	0,002	30,866
53,8	0,002	-0,006	30,709
53,9	0,003	0,002	30,866
54,0	0,007	0,002	30,866
54,1	0,012	0,009	30,866
54,2	0,013	-0,014	30,866
54,3	0,011	0,002	30,866
54,4	0,006	0,002	30,866
54,5	0,004	0,002	30,866
54,6	0,006	0,002	30,866
54,7	0,010	-0,006	30,866
54,8	0,014	-0,014	30,866
54,9	0,015	0,002	30,866
55,0	0,012	0,009	30,709
55,1	0,007	-0,006	30,709
55,2	0,004	0,002	30,709
55,3	0,004	-0,006	30,866
55,4	0,007	-0,006	30,866
55,5	0,010	-0,006	30,866
55,6	0,011	-0,006	30,866
55,7	0,010	0,009	30,866
55,8	0,008	-0,006	30,866
55,9	0,007	0,002	30,866
56,0	0,007	0,002	30,866
56,1	0,008	-0,006	30,866
56,2	0,009	-0,006	30,709
56,3	0,009	0,002	30,709
56,4	0,009	0,009	30,866
56,5	0,009	-0,006	30,866
56,6	0,010	-0,006	30,866
56,7	0,011	-0,006	30,866
56,8	0,011	0,009	30,866
56,9	0,011	0,009	30,866
57,0	0,010	-0,006	30,866
57,1	0,009	0,002	30,866
57,2	0,009	0,002	30,709
57,3	0,008	-0,006	30,866
57,4	0,007	0,009	30,866
57,5	0,007	-0,006	30,709
57,6	0,007	0,002	30,709
57,7	0,007	-0,006	30,709
57,8	0,008	0,009	30,709
57,9	0,008	0,002	30,866
58,0	0,008	-0,006	30,866
58,1	0,006	0,002	30,866
58,2	0,005	0,002	30,866
58,3	0,005	-0,006	30,866
58,4	0,006	-0,006	30,866
58,5	0,007	0,002	30,866
58,6	0,008	0,002	30,866
